Feature,Importance
COL5A2.1,0.1941793512571916
COL5A2,0.17762981965620295
COL5A2.2,0.15804940640812334
NDNF.2,0.062267528281343056
SST,0.05202651101962169
NDNF.1,0.045865859740013656
MYO16,0.04039198142417334
NDNF,0.0364532533242952
FAT1,0.024841390016062902
CSGALNACT1.3,0.011936663799231209
CSGALNACT1.2,0.009384812617735822
CSGALNACT1.1,0.0089291084548754
EGFR,0.00846670386850785
SYNPR.AS1.1,0.008214031499959785
SYNPR.AS1.2,0.008035300595275715
SYNPR.AS1,0.00783145889272456
TOX3.2,0.007382986040343807
CBLN4,0.007286378997587517
TOX3,0.006306451588600967
TOX3.1,0.005575529842258167
CSGALNACT1,0.005151464445427721
UTRN.1,0.0037838936940950063
DLX6.AS1,0.0037262137847467753
UTRN,0.0033179177818005575
NKAIN3,0.0031398458732903884
EPHA4,0.002961678815081056
UTRN.2,0.0027978611720518645
PTCHD4,0.002781696141178068
NPNT,0.002690496320040987
MPPED1.1,0.002578627510642807
GAD2,0.002501671213798408
ATP1B2,0.002464030753978134
LAMP5,0.0024291949942710747
GAD2.1,0.002397050956785656
GNG4,0.0021769740642014115
PLCXD3,0.002034705909568512
TRPC3.1,0.002022770033436513
MPPED1,0.0020001134903886784
SOX5,0.001960774350679206
TRPC3,0.001958345282057151
PLCXD3.1,0.0018105406923139865
BCL11B,0.0017467086984317877
LAMA3.4,0.0016974299195925658
ATP11C,0.0016498758128527925
LAMA3,0.001623000411968288
CDK6,0.00158572053179679
CHRM2.1,0.0015469595141827885
PTCHD4.1,0.001496805461785012
SOX5.2,0.001469341037428606
LAMA3.3,0.001441278033766251
CPLX3,0.0013817269937819927
PAPSS2.1,0.0012441453709766547
NTNG1.1,0.001080129051710521
LAMA3.2,0.0010730454573492974
PAPSS2,0.0008835438578662795
SOX13,0.0008344412195126371
CD36,0.0008028178425333442
CHRM2,0.000731560018893386
LAMA3.1,0.0007297633886497133
SOX5.1,0.0006637630080537225
SYP,0.0006603667975000165
TMEM200C,0.0006559046493063743
FRMPD1,0.0006361841301915582
WIF1.1,0.0005943754311206238
CDH7,0.0005814471506294213
C8ORF4.1,0.0005788403405416232
LIN7A,0.000567901349238634
KAL1.1,0.0005532686899386921
PDZRN4,0.0005402479192991407
PCDH9.AS1,0.0005273382999894642
SERPINE2.1,0.0004931774003983495
ADRA1A,0.00045695098432030476
DLX1,0.0004423077671274745
TRIM36,0.0004236767140993739
TAC3.1,0.00041695840471111715
TOX.1,0.0003982679993337284
LINC00472,0.0003922899150823183
CNTN6,0.0003882230710119894
KAL1,0.0003753843854345579
CLMP,0.0003655511250245562
GRIP2,0.000359335074812661
PTPRZ1.1,0.00035814976920472784
COL16A1,0.0003569004730861578
BCL11B.1,0.00035581357944312994
ADARB2.AS1.1,0.0003485859374257527
TOX,0.0003436537817931085
TRIM36.1,0.00034288087176981773
PREX2,0.00031938544000546
TOX.2,0.0003049570177816687
GRIP2.1,0.00030459458587791735
COL19A1,0.0002965101128126313
LRRC3B,0.0002958738693604732
BCL11A.1,0.00029121443334972165
TOX2,0.00028827142349213924
PROX1.1,0.0002829398744078133
C8ORF4,0.0002797633073551167
MAF,0.00027961679248178934
SPHKAP,0.0002771245575325464
MAPK4,0.0002725279886467845
PTGFR,0.00027198855788566125
OSBPL3,0.0002635382735854921
MIR4435.1HG,0.00025713280921351567
PKP2.1,0.0002548684568243228
SV2A,0.00025386189926904554
NXPH2.1,0.00025280806492408665
SCN3B,0.00025199512110130344
LRRC3B.1,0.000244095901312713
TMEM200C.1,0.00023917114598417268
PLXNA4.2,0.00023382424615406145
SEMA3C.1,0.00023282972622401323
NR2F2.AS1,0.00023155962351495326
BRINP1,0.00022557653587431355
BCL11A.2,0.00022421789676253538
TMEM200C.2,0.0002223135553826477
ELAVL2,0.00021191089597562537
KCNIP1,0.0002092971514273959
GABRG2,0.000205406754936933
DCN.4,0.00019806144168265548
S100B,0.00019605308733959404
NFIX,0.0001942803858283181
LINC00511,0.0001917452652774841
RBFOX3,0.000190978519667517
STARD13,0.00018762936854807607
CUX2.1,0.00018590386102985233
FAM135B,0.00018566597308649412
PBX3,0.00018453653185137185
COL21A1,0.0001835833795321557
OPRK1,0.00018297722147692046
ARHGAP31,0.00018064709711512205
NFIA,0.00017990485451101554
DCN.1,0.00017953032535326477
IGSF3,0.00017441179757364292
RORB,0.00017420587392902553
TOX2.1,0.00017324002595687122
LINC01102,0.0001714355165037697
ARHGAP18,0.00016981370261432417
ARHGEF28,0.00016601529218177784
PTPRS,0.00016390613118656653
NTNG1,0.00016118049331007356
SEMA3C,0.0001607204760989685
TPD52L1,0.00015757796807264985
ZNF536,0.00015730525791532847
DCN.3,0.00015701915017809958
NECAB1,0.00015549704308740278
BAGE2.2,0.00015535686016900413
C1ORF21,0.0001543508613833261
ARHGAP42,0.00015414890711977784
COL12A1,0.00015410782060755725
SLIT3,0.0001524358492190115
HTR2C,0.0001488468210223228
ARHGAP18.2,0.0001483689984700654
ADCY8,0.00014810942323296663
CUX2,0.00014777638413399777
SEMA5A,0.00014251054859005144
NRG1.IT1,0.00014177940743852514
PROX1.AS1,0.00014096477984811866
EPHB6,0.00014086995622721024
BCHE,0.00014038849575679046
SLC1A3,0.00013875822789734615
LINC01197,0.00013724230991785712
ARHGAP36.2,0.0001359042662369757
SLC30A3,0.00013541942483576952
ERMN,0.00013225712999025214
HLA.C,0.00013056045089147866
IGSF21,0.00013032375589608843
TMEM132C.1,0.00013026512832669935
MGLL,0.00012893678402259127
POU6F2.1,0.00012890444856050083
RGS8,0.00012761378963714606
LHFPL3.AS1,0.00012479615769153725
GABRA4,0.00012279391770520163
PTN.1,0.00012274480260423054
PTGDS,0.00012073706617149552
ARL4C,0.00011947130124100563
HLA.B.1,0.00011884815119316598
ST3GAL1,0.0001164371181296713
LINC00507,0.00011233588375920251
SLITRK2,0.00011083692399830423
SEMA3C.2,0.00011014004971755697
ELAVL2.1,0.00010671010298486964
PROX1,0.000106042050999317
FAM107B,0.0001058792777670803
SLIT3.2,0.00010435334030031888
BAGE2.3,0.00010374389355689307
HIP1R,0.00010357298849521006
SLITRK2.1,0.00010287898302657339
POU6F2,0.00010272597115324458
BCL11A,0.00010245013058532713
DPYSL3,0.00010187053588050987
MYO1B,0.00010146828488800697
PAX6.1,0.0001000414142690493
ABCB5,9.905309041279477e-05
VAT1L,9.88262188835896e-05
UGT8.2,9.87840945225618e-05
PRSS12,9.815466521213888e-05
SRRM4,9.757095112872225e-05
ARHGEF26.AS1,9.726267708602754e-05
PTPRZ1,9.699949318811845e-05
ELN,9.650353271685206e-05
MAG,9.478445572951404e-05
CARNS1,9.40868169995023e-05
HCRTR2.1,9.171403679667725e-05
NPR3,9.148198889222044e-05
BAGE2.4,9.004527418016934e-05
ARHGAP18.1,8.97793347512648e-05
FAM153C,8.774936608753166e-05
LHFP.1,8.767774457465881e-05
SYT10,8.645518769559897e-05
WIF1,8.637244307698617e-05
TLE2,8.474288488597726e-05
UNC5B,8.444957672467178e-05
RAMP1,8.383309709171556e-05
BAGE2,8.050602984427209e-05
PROX1.2,7.972782808109789e-05
SERPINE2,7.906557573291302e-05
FAM155A.IT1,7.900479851616095e-05
DCHS2,7.812716847051107e-05
BEX1,7.772424817684397e-05
PCDH18,7.66264113899973e-05
PLCG2,7.17103726308934e-05
IQGAP2,7.065604863921509e-05
IGF1,7.00622115408623e-05
ZNF385D.AS2,6.988592642993431e-05
MTSS1L,6.986125140089735e-05
SLIT3.1,6.929055702827887e-05
PPAPDC1A.1,6.915037127201514e-05
PRELID2,6.86393956829863e-05
KIAA1958,6.858488989910576e-05
PTN,6.811645160725427e-05
YAP1,6.766813701575791e-05
ADAMTS17,6.711653269687675e-05
NRGN,6.71103894493481e-05
LINC00923,6.679830011176032e-05
CHST15,6.52649427674497e-05
ZNF385D.AS2.1,6.52593637849143e-05
ADARB2.AS1,6.511774095725589e-05
RSPO2,6.491925069917578e-05
SAMSN1,6.435807865643444e-05
LRP4,6.410558794333395e-05
PCDH18.2,6.318116372464294e-05
DISC1,6.292487903349646e-05
FOXO1,6.207656654511016e-05
MCTP2,6.177281836094091e-05
PRICKLE2,6.120887528691752e-05
GREM2.1,6.0686433458049525e-05
SP8,6.061492493067039e-05
VIP,5.68455959579379e-05
SRGAP1,5.619572247168094e-05
PKP2.2,5.573542837515418e-05
FAM84A,5.5613367277692455e-05
FAM46A.3,5.54728937676207e-05
BTBD11,5.475120809511732e-05
NRIP3,5.321952249115813e-05
CECR2,5.2769283797845964e-05
NR2F2.1,5.2586062278078224e-05
ATP2B4,5.1669086844930386e-05
TGFBR2.1,5.148264637797225e-05
MEGF11,5.1124229972668066e-05
COBL,5.0924971283182323e-05
EDNRA.1,5.052447572638553e-05
PLXNA4,4.900678015748207e-05
TNS3.2,4.8640852429101144e-05
GPR149,4.844548932524002e-05
FOLH1,4.770120528031084e-05
CALB1,4.684776142455387e-05
RNASE1,4.671766633653588e-05
DPF3,4.618916261387733e-05
EDNRA.2,4.477360719884079e-05
STXBP6.1,4.388517872121586e-05
SNCG,4.3822079097738763e-05
SAMD5.2,4.2111128045201175e-05
NR2F2,4.192593824161202e-05
MMRN2.1,4.158156536186694e-05
SHISA9,4.1483527605439544e-05
SNCG.1,4.132093717744668e-05
VWDE,4.072855822997794e-05
LINC01435,4.04140135889375e-05
LHFP,4.032796329321586e-05
HEPN1,4.024819347591992e-05
PNOC.2,3.998540281562269e-05
CMTM8,3.9439456902405856e-05
PLCE1,3.942304314127438e-05
APOD.1,3.9164548632477075e-05
PTGDS.1,3.870831750837425e-05
TMEM196.1,3.832008816481254e-05
KIAA1456,3.8204393505255225e-05
LINC01105,3.7571944756589296e-05
FIGN,3.6111366594997414e-05
LHFP.2,3.6010467937470465e-05
KANK1,3.54809549920744e-05
GREM2,3.544138329991189e-05
PLXNA4.1,3.531345411489136e-05
KIT,3.5202092663640825e-05
ANGPT1.1,3.5048138782299957e-05
MAML3,3.4930892034811224e-05
ADRA1B,3.4894253392177475e-05
NPTX1,3.432633594214392e-05
SLC7A2,3.360184539542464e-05
LINC00152,3.358547494421967e-05
TNS3.1,3.307503606136989e-05
LINC00639,3.271031534403684e-05
EPHB6.2,3.225630625993054e-05
ADCY8.1,3.0988325635531874e-05
PCDH18.1,3.0881972107769774e-05
COL16A1.1,3.01460071858355e-05
PWRN1,2.8370406176647706e-05
NINJ2,2.704743746391477e-05
LHX6,2.6741270056142888e-05
PCDH9.AS3,2.636135182938916e-05
VIP.2,2.610522886115353e-05
INHBA.AS1,2.535812704552645e-05
BCAN,2.5223963612430926e-05
ITGB5,2.512031661229422e-05
KIT.1,2.5037830590311005e-05
SPP1,2.4826029863331737e-05
CHD7.1,2.450108464005318e-05
APOD,2.3543843130398036e-05
EPHB6.1,2.3286468467090194e-05
PCDH18.3,1.9212234183550805e-05
FAM46A,1.905226082643797e-05
HCRTR2.2,1.8012918390481095e-05
TMEM132C,1.7901322638879162e-05
NXPH2,1.759309765875013e-05
HCRTR2,1.7447396632983518e-05
STXBP6,1.739450205116851e-05
ID2,1.715720842498304e-05
SNCG.2,1.7047703126431066e-05
EGF.3,1.7044275083642007e-05
TNS3,1.696338197240891e-05
OLIG1.1,1.680120271962e-05
MOBP,1.6800976142443828e-05
CALB2.1,1.6767949068870965e-05
CALB2.2,1.6762267327131846e-05
ADAM33.2,1.617721636537967e-05
ARHGAP36,1.6171963536257574e-05
ARHGAP42.2,1.5965712681753314e-05
SCN3A,9.192743576407769e-06
RASGRF2.AS1,8.926173758892109e-06
GRIK3,8.83596536284954e-06
OLIG1.2,8.825311317443708e-06
ADCY8.2,8.803265725155118e-06
WLS,8.62232243028468e-06
SCN7A,8.619591784382015e-06
KITLG,8.612555881533016e-06
MMRN2.3,8.452724453819432e-06
ST8SIA5,8.374729425881699e-06
TRBC2,8.373855541411459e-06
CALB2,8.35738008774632e-06
DAAM2,8.310607471217555e-06
VIP.1,8.290795307723887e-06
LYPD6B,8.122982956745494e-06
ARHGAP42.1,8.072838901543962e-06
SAMD5.1,7.994587204691237e-06
IQGAP2.1,7.742765947953449e-06
MMRN2.2,1.6356963944593272e-17
GPNMB.1,1.3958435611033918e-17
BCAS1.2,1.1384195548336815e-17
OPALIN,1.1209090357641196e-17
NRN1,9.735411716894249e-18
FAM189A2,9.706570430366254e-18
ARHGAP36.1,9.537879673881392e-18
CA8,9.445675691660619e-18
ADCYAP1R1,8.98237873209454e-18
CHRNB3,8.355987966020305e-18
XYLT1,8.314621027147786e-18
ASIC4.1,8.210746697378629e-18
ADAM33.1,8.053284994835824e-18
ALDH1L1,7.364909531633677e-18
TTTY14,7.038251374187055e-18
GPR39,6.5978730139524706e-18
TMEM178A,6.399466341924084e-18
CHRNB3.1,6.3969470885644474e-18
FLI1.1,6.095675487590213e-18
RAB37,6.065622306526683e-18
MS4A14,6.010125702613808e-18
GLI3,5.895588240923133e-18
TBL1X,5.882559193146254e-18
MCTP2.1,5.736575948566726e-18
CA2,5.576747927638399e-18
APBB1IP.1,5.312957596027606e-18
WIF1.2,5.246245441723655e-18
LINC01411.2,5.241765102349302e-18
SEZ6L2,5.2154531387323486e-18
ANK1,5.146670098074615e-18
APBB1IP,4.963223761427352e-18
PKP2,4.947697311330545e-18
LINC00710,4.814518663853497e-18
HLA.B,4.78151371967674e-18
VWDE.1,4.7720713540726635e-18
ADAM28.1,4.512833065544152e-18
FAM19A4,4.452023574712706e-18
TBR1,4.3040112827871545e-18
UGT8,4.288278797916054e-18
IQGAP2.2,4.205394775513927e-18
DCN.2,4.199919825630278e-18
ARHGAP28,4.050251325291763e-18
GJA1,4.037175923432659e-18
DOCK1,4.025393769942405e-18
RGS16,3.926960236286732e-18
LINC00639.1,3.75943310682369e-18
CSF2RA.1,3.735843180748739e-18
FGD2,3.716551899210672e-18
ADGRG1,3.6679726502188876e-18
VWC2L.IT1.1,3.583023621467175e-18
CRH,3.549146189246632e-18
KIAA1644.1,3.540953816116054e-18
B2M,3.470674003468299e-18
FLT3,3.4516106228849944e-18
UGT8.1,3.3898891490067557e-18
COL9A1,3.1707779801581295e-18
DGCR5,3.1600955831555203e-18
ST18,3.106210906131178e-18
HEPACAM.1,3.041165241639458e-18
MC4R.3,2.909372825975992e-18
CNDP1,2.908617914568132e-18
NOTCH2,2.8786821814478515e-18
PTHLH.1,2.8688172324177905e-18
TBL1X.2,2.7703571947468706e-18
PAX6,2.762866175996777e-18
PON2,2.748791593507064e-18
OLIG1,2.7437591712291697e-18
HCRTR2.3,2.7063694359648546e-18
EDNRA,2.693227897114386e-18
PLXNB3,2.6202435676194393e-18
BCAS1.5,2.577791332531787e-18
ART3,2.5728247062828687e-18
LINC00511.1,2.37932459683496e-18
MAML2,2.3572376757790936e-18
SCN7A.1,2.3414318916774538e-18
HSPB8,2.3394712505038324e-18
EZR,2.325891918729541e-18
NHSL1.1,2.3058670897311404e-18
HIF3A.1,2.264222158519776e-18
KCNK2,2.2613424129322194e-18
CHRNA2.2,2.2074690375212697e-18
EGF.1,2.187620518652958e-18
LINC00595,2.1656551923285246e-18
CHRNA2,2.1642577160054586e-18
KCNK2.1,2.1465010917268e-18
CNTNAP3,2.0952011822313516e-18
GLIS3,1.911307948042848e-18
MEGF10.1,1.8674520619336286e-18
MOG,1.864469029340871e-18
LINC01411,1.847248276760368e-18
CELF4,1.8173277801197404e-18
PLCG2.1,1.7422403328065627e-18
FAM46A.2,1.7350698462939025e-18
NRP2,1.7234448330571584e-18
NHSL1,1.7190602284778767e-18
PRKCQ,1.7118782136403445e-18
SAMD5,1.6911341973915993e-18
CHD7.2,1.6775537187924535e-18
MC4R.2,1.656964359006867e-18
PNOC.1,1.6555978459821077e-18
FAM196A.1,1.6497631909315556e-18
MAL,1.6279257813205503e-18
TYRO3,1.6201938790424553e-18
ZBTB20.AS1.1,1.607067500721857e-18
ST6GAL2,1.5912310130321516e-18
EGF.2,1.5764751040998979e-18
IL1RAP,1.5514627608847246e-18
EGF,1.5277427945696804e-18
LINC01435.1,1.5048815583583913e-18
MC4R.1,1.440314417895382e-18
ANGPT1,1.3900923956569428e-18
LINC00639.2,1.3589370839072196e-18
OLIG2,1.3159603394777564e-18
LINC01411.1,1.3006987401327985e-18
ZBTB20.AS1.2,1.2921552310781199e-18
GRIN3A,1.2538956587464686e-18
ZBTB20.AS1,1.211699764246082e-18
HEPACAM,1.208143880532605e-18
GPR37L1,1.1930694402585372e-18
SLC17A6,1.1921549540848303e-18
FAM19A4.1,1.1586173615960119e-18
INPP5D.1,1.1584921571561156e-18
CSPG4,1.1187373274502893e-18
BCAS1.3,1.0894073377891896e-18
C1QC,1.0798445343151584e-18
GFRA1,1.078208418243504e-18
ANKRD33B,1.0447308511185991e-18
ADGRG1.1,1.0228353114926318e-18
LINC00856,1.0147289244085354e-18
GSN,1.0134476545384245e-18
VWC2,1.00724565812316e-18
HIF3A,9.913510368155027e-19
TAC3,9.230822850011424e-19
DCN,8.897843688885278e-19
KIAA1644,8.736816658122314e-19
LINC00499.1,6.434194043413373e-19
IGFBP5,5.529117565416555e-19
BCAS1.4,4.3901396218888015e-19
INPP5D,4.1452733476288873e-19
PTPRS.1,4.04193009738712e-19
ZBTB18,3.601773309684416e-19
C10ORF90,2.8361617804524453e-19
BCAS1.1,2.2044230066501893e-19
RIN2,2.1099818308845624e-19
IKZF1,1.8998018985418437e-19
MCTP2.2,1.5270136020692516e-19
MS4A7,1.5258838507887734e-19
SYK,1.1678434482036165e-19
ARHGAP29,1.1333108928966584e-19
PRODH,1.0594212945742033e-19
SMOC1,1.0404990284504719e-19
DOCK8,9.726798666306502e-20
FERMT1,9.574707467879525e-20
TSPAN12,8.687062366041198e-20
MC4R,8.245596760533825e-20
ADAM33,8.228511309296985e-20
STK32A,7.72279447887869e-20
ABCA8,6.90679998474401e-20
C10ORF90.1,6.05402873889939e-20
SCML4.1,2.953944641348123e-20
GRAMD3,2.9259447411807486e-20
TMEM196,0.0
SEMA3A,0.0
PTPRC,0.0
ADAM28,0.0
BCHE.2,0.0
EMX2OS,0.0
KLRC3,0.0
PAMR1,0.0
FLI1,0.0
LINC00498,0.0
PTHLH,0.0
PAPLN,0.0
RANBP3L,0.0
ETNPPL,0.0
TMEM144,0.0
MEGF10,0.0
SSTR2,0.0
FAM196A,0.0
CHD7.3,0.0
LINC01500,0.0
SFTA1P,0.0
SCML4,0.0
NRIP3.1,0.0
LGI2,0.0
ZCCHC24,0.0
CHD7,0.0
BCHE.1,0.0
KIAA1211,0.0
ADAM33.3,0.0
ADAMTS9.AS2,0.0
CX3CR1,0.0
ITGAX,0.0
PTPRC.1,0.0
CD53,0.0
MS4A6E,0.0
SLC17A7,0.0
TESPA1,0.0
SNCG.3,0.0
GAP43,0.0
CA8.1,0.0
SCML4.2,0.0
LGI2.2,0.0
TSPAN12.1,0.0
CA2.1,0.0
SLC5A8,0.0
FGFR2,0.0
WIF1.3,0.0
SMAD3,0.0
LINC00508,0.0
TANC1,0.0
PNOC,0.0
CA3,0.0
TSPAN12.2,0.0
CXCL12.1,0.0
KMO,0.0
BAGE2.1,0.0
PPAPDC1A,0.0
S100B.1,0.0
CHRNA2.1,0.0
TYROBP,0.0
LINC00996,0.0
TGFBR2,0.0
ADRA1B.1,0.0
NPFFR1,0.0
TBL1X.1,0.0
BCL11B.2,0.0
MMRN2,0.0
CD22,0.0
CERCAM,0.0
LRP4.AS1,0.0
LGI2.1,0.0
PTGDS.2,0.0
HEPN1.1,0.0
VWC2L.IT1,0.0
MYRF,0.0
ASIC4,0.0
GRPR,0.0
FAM46A.1,0.0
CXCL12,0.0
BCAS1,0.0
SLC25A18,0.0
SLCO1C1,0.0
SLC7A11,0.0
ATP1A2,0.0
TMCC3,0.0
COL20A1,0.0
LINC00499,0.0
LRP4.AS1.1,0.0
GPNMB,0.0
TMC6,0.0
LAMA1,0.0
ATP1A3,0.0
CSF2RA,0.0
